TREE_COLORS
SEPARATOR TAB
DATA
Vibrio_alfacsensis_CAIM_1831	range	#bcc200	alfacsensis
Vibrio_owensii_XSBZ03	range	#64b32a	owensii
Vibrio_parahaemolyticus_160807	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_R14	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_R13	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_MAVP_R	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_20130629002S01	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_VPD14	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FDAARGOS_191	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_ATCC_17802	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_UCM_V493	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_MAVP_Q__38	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_022	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_10329	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_O3_K6	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_014	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FDA_R31	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_CHN25	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_072	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_MAVP_Q__67	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_006	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_CDC_K4557	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_071	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_004	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_008	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_FORC_018	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_BB22OP	range	#e25803	parahaemolyticus
Vibrio_parahaemolyticus_378	range	#e25803	parahaemolyticus
Vibrio_qinghaiensis_Q67	range	#c2ff74	qinghaiensis
Vibrio_rotiferianus_B64D1	range	#ef4736	rotiferianus
Vibrio_scophthalmi_VS_12	range	#cbff4e	scophthalmi
Vibrio_scophthalmi_VS_05	range	#cbff4e	scophthalmi
